code	kline_time	open	high	low	close	volume	amount
301013.SZ	2026-04-10 10:25:00	22.81	22.81	22.79	22.81	26300	599663
301013.SZ	2026-04-10 10:26:00	22.8	22.81	22.8	22.81	22000	501843
301013.SZ	2026-04-10 10:27:00	22.81	22.81	22.78	22.8	9100	207410
301013.SZ	2026-04-10 10:28:00	22.8	22.8	22.78	22.79	7700	175476
301013.SZ	2026-04-10 10:29:00	22.79	22.8	22.78	22.78	16800	382880
301013.SZ	2026-04-10 10:30:00	22.78	22.8	22.78	22.79	4700	107125
301013.SZ	2026-04-10 10:31:00	22.8	22.8	22.79	22.79	71100	1620889
301013.SZ	2026-04-10 10:32:00	22.8	22.8	22.77	22.79	65800	1498735
301013.SZ	2026-04-10 10:33:00	22.79	22.84	22.78	22.83	77900	1775641
301013.SZ	2026-04-10 10:34:00	22.83	22.83	22.8	22.82	29000	661277
301013.SZ	2026-04-10 10:35:00	22.8	22.8	22.79	22.8	18200	414891
301013.SZ	2026-04-10 10:36:00	22.8	22.81	22.8	22.8	12400	282727
301013.SZ	2026-04-10 10:37:00	22.8	22.82	22.8	22.81	4500	102646
301013.SZ	2026-04-10 10:38:00	22.81	22.83	22.81	22.83	5100	116379
301013.SZ	2026-04-10 10:39:00	22.83	22.84	22.81	22.81	10500	239684
301013.SZ	2026-04-10 10:40:00	22.81	22.84	22.81	22.84	29200	666644
301013.SZ	2026-04-10 10:41:00	22.84	22.85	22.84	22.85	5800	132494
301013.SZ	2026-04-10 10:42:00	22.83	22.85	22.83	22.84	8300	189599
301013.SZ	2026-04-10 10:43:00	22.84	22.85	22.84	22.85	9600	219346
301013.SZ	2026-04-10 10:44:00	22.85	22.85	22.81	22.81	16900	385769
301013.SZ	2026-04-10 10:45:00	22.8	22.8	22.78	22.79	49200	1121507
301013.SZ	2026-04-10 10:46:00	22.79	22.81	22.78	22.81	33700	768567
301013.SZ	2026-04-10 10:47:00	22.81	22.81	22.79	22.79	5200	118577
301013.SZ	2026-04-10 10:48:00	22.79	22.79	22.78	22.78	7900	180039
301013.SZ	2026-04-10 10:49:00	22.78	22.81	22.78	22.81	33100	754854
301013.SZ	2026-04-10 10:50:00	22.82	22.82	22.81	22.82	9300	212181
301013.SZ	2026-04-10 10:51:00	22.81	22.82	22.8	22.81	14100	321583
301013.SZ	2026-04-10 10:52:00	22.81	22.85	22.81	22.85	11500	262554
301013.SZ	2026-04-10 10:53:00	22.85	22.85	22.84	22.84	2400	54817
301013.SZ	2026-04-10 10:54:00	22.84	22.85	22.84	22.85	5100	116529
301013.SZ	2026-04-10 10:55:00	22.84	22.84	22.83	22.83	2400	54807
301013.SZ	2026-04-10 10:56:00	22.83	22.84	22.82	22.82	7100	162051
301013.SZ	2026-04-10 10:57:00	22.82	22.82	22.82	22.82	9800	223638
301013.SZ	2026-04-10 10:58:00	22.81	22.82	22.81	22.82	3300	75283
301013.SZ	2026-04-10 10:59:00	22.82	22.85	22.81	22.82	40600	926517
301013.SZ	2026-04-10 11:00:00	22.83	22.83	22.81	22.81	2000	45647
301013.SZ	2026-04-10 11:01:00	22.81	22.82	22.78	22.78	23700	540098
301013.SZ	2026-04-10 11:02:00	22.79	22.79	22.75	22.75	28000	637208
