	INDEX_CODE	CON_CODE	TRADE_DATE	TOTAL_SHARE	FREE_SHARE_RATIO	CALC_SHARE	WEIGHT_FACTOR	WEIGHT	CLOSE
13	000300.SH	000596.SZ	20260512	408600000		163440000	1	0.062	102.54
12	000300.SH	000568.SZ	20260512	1471941963		735970982	1	0.2582	94.78
11	000300.SH	000538.SZ	20260512	1784262603		892131302	1	0.1711	51.81
10	000300.SH	000425.SZ	20260512	11752972482		9402377986	1	0.3644	10.47
9	000300.SH	000408.SZ	20260512	1570225745		785112873	1	0.2558	88.02
8	000300.SH	000338.SZ	20260512	6770541296		5416433037	1	0.6556	32.7
7	000300.SH	000333.SZ	20260512	7034219742		4923953819	1	1.4598	80.09
6	000300.SH	000301.SZ	20260512	6611230167		2644492067	1	0.1268	12.95
5	000300.SH	000166.SZ	20260512	22535944560		9014377824	1	0.1595	4.78
4	000300.SH	000157.SZ	20260512	7096027688		4967219382	1	0.1442	7.84
3	000300.SH	000100.SZ	20260512	20800862447		20800862447	1	0.3288	4.27
2	000300.SH	000063.SZ	20260512	4028032353		3222425882	1	0.4543	38.09
17	000300.SH	000651.SZ	20260512	5601405741		4481124593	1	0.6691	40.34
18	000300.SH	000661.SZ	20260512	407937529		326350023	1	0.1073	88.85
19	000300.SH	000708.SZ	20260512	5047157829		1009431566	1	0.058	15.52
28	000300.SH	000895.SZ	20260512	3464661213		1039398364	1	0.1033	26.85
34	000300.SH	000999.SZ	20260512	1664217858		665687143	1	0.0631	25.6
33	000300.SH	000983.SZ	20260512	5677101059		2838550530	1	0.0719	6.84
32	000300.SH	000977.SZ	20260512	1468476655		1027933659	1	0.2783	73.13
31	000300.SH	000975.SZ	20260512	2776722265		1666033359	1	0.173	28.06
30	000300.SH	000963.SZ	20260512	1754021048		877010524	1	0.1089	33.56
29	000300.SH	000938.SZ	20260512	2860079874		2002055912	1	0.2274	30.69
27	000300.SH	000876.SZ	20260512	4502576702		2251288351	1	0.0718	8.62
20	000300.SH	000725.SZ	20260512	36720996337		36720996337	1	0.5668	4.17
26	000300.SH	000858.SZ	20260512	3881608005		1940804003	1	0.6506	90.56
25	000300.SH	000807.SZ	20260512	3467957405		2080774443	1	0.24	31.16
